# C-11 standard atmosphere (Data loaded from a file)
# 285 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.616,95.001,607.001,11.208,11.208,-10.159,10.159,-0.00044,0.00011,0.00046,284.53084,0.00014,0.00011,33.98,117.38,0.00057,0,0,0,90.01167,257.48723,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.056,0.474,0.327,0.027,0.12,0.474,0.00014,0.00071,-0.0003,0,0,0,0,0,0,0,11.054,942.7,0.00116,337.998,0.033,434000,4.6,20,0.05,0.39,0
3.666,95.549,607.549,10.701,10.701,-10.13,10.13,-0.00045,0.00012,0.00046,284.58814,0.00014,0.00009,33.98,117.38,0.00056,0,0,0,90.01167,246.65833,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.052,0.477,0.33,0.027,0.12,0.477,0.00013,0.0002,-0.00014,0,0,0,0,0,0,0,11.051,942.6,0.00116,337.996,0.032,414400,4.6,20,0.05,0.401,0
3.716,96.071,608.071,10.195,10.195,-10.101,10.101,-0.00045,0.00012,0.00047,284.64543,0.00014,0.00008,33.98,117.38,0.00052,0,0,0,90.01167,249.12205,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.047,0.481,0.333,0.027,0.12,0.481,0.00012,0.00006,-0.00033,0,0,0,0,0,0,0,11.048,942.5,0.00116,337.994,0.03,394800,4.6,20,0.05,0.404,0
3.766,96.568,608.568,9.691,9.691,-10.073,10.073,-0.00046,0.00012,0.00048,284.70273,0.00014,0.00006,33.98,117.38,0.00048,0,0,0,90.01167,254.96622,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.043,0.484,0.337,0.027,0.12,0.484,0.00011,0.00005,0.00016,0,0,0,0,0,0,0,11.044,942.5,0.00116,337.992,0.029,375200,4.6,20,0.05,0.408,0
3.816,97.04,609.04,9.188,9.188,-10.047,10.047,-0.00047,0.00012,0.00048,284.76002,0.00014,0.00005,33.98,117.38,0.00045,0,0,0,90.01167,260.75309,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.039,0.489,0.341,0.027,0.12,0.489,0.00011,0.00045,-0.00018,0,0,0,0,0,0,0,11.041,942.4,0.00116,337.99,0.027,355700,4.6,20,0.05,0.414,0
3.866,97.487,609.487,8.686,8.686,-10.023,10.023,-0.00047,0.00013,0.00049,284.76002,0.00014,0.00004,33.98,117.38,0.00043,0,0,0,90.01167,265.62323,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.035,0.493,0.345,0.027,0.12,0.493,0.0001,0.00065,-0.00039,0,0,0,0,0,0,0,11.038,942.4,0.00116,337.988,0.026,336300,4.6,20,0.05,0.417,0
3.916,97.909,609.909,8.185,8.185,-9.999,9.999,-0.00048,0.00013,0.0005,284.81732,0.00015,0.00005,33.98,117.38,0.0005,0,0,0,90.01167,265.62323,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.031,0.498,0.35,0.027,0.12,0.498,0.00012,0.00035,0.00041,0,0,0,0,0,0,0,11.036,942.3,0.00116,337.986,0.024,316900,4.6,20,0.05,0.422,0
3.966,98.305,610.305,7.686,7.686,-9.977,9.977,-0.00049,0.00013,0.0005,284.87462,0.00015,0.00005,33.98,117.38,0.00057,0,0,0,90.01167,265.62323,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.028,0.503,0.355,0.028,0.12,0.503,0.00013,0.0007,0.00039,0,0,0,0,0,0,0,11.033,942.3,0.00116,337.985,0.023,297600,4.6,20,0.05,0.424,0
4.016,98.677,610.677,7.188,7.188,-9.955,9.955,-0.0005,0.00013,0.00051,284.87462,0.00015,0.00005,33.98,117.38,0.00066,0,0,0,90.01167,265.62323,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.025,0.508,0.36,0.028,0.12,0.508,0.00015,0.00026,-0.00031,0,0,0,0,0,0,0,11.031,942.2,0.00116,337.983,0.021,278300,4.6,20,0.05,0.426,0
4.066,99.024,611.024,6.69,6.69,-9.936,9.936,-0.0005,0.00013,0.00052,284.87462,0.00015,0.00005,33.98,117.38,0.00076,0,0,0,90.01167,265.62323,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.022,0.514,0.366,0.028,0.12,0.514,0.00018,0.00015,0.0003,0,0,0,0,0,0,0,11.028,942.2,0.00116,337.982,0.02,259000,4.6,20,0.05,0.428,0
4.116,99.346,611.346,6.194,6.194,-9.917,9.917,-0.00051,0.00014,0.00053,284.93191,0.00015,0.00005,33.98,117.38,0.00087,0,0,0,90.01167,265.62323,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.019,0.521,0.373,0.028,0.12,0.521,0.00021,0.0005,0.00014,0,0,0,0,0,0,0,11.026,942.2,0.00116,337.981,0.018,239800,4.6,20,0.05,0.43,0
4.166,99.644,611.644,5.699,5.699,-9.9,9.9,-0.00052,0.00014,0.00054,284.93191,0.00016,0.00005,33.98,117.38,0.00107,0,0,0,90.01167,261.78442,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.016,0.528,0.38,0.028,0.12,0.528,0.00025,0.00066,-0.00036,0,0,0,0,0,0,0,11.024,942.1,0.00116,337.98,0.017,220600,4.6,20,0.05,0.431,0
4.216,99.916,611.916,5.204,5.204,-9.884,9.884,-0.00052,0.00014,0.00054,284.93191,0.00015,0.00005,33.98,117.38,0.00119,0,0,0,90.01167,261.78442,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.014,0.537,0.388,0.028,0.12,0.537,0.00028,0.001,0.00047,0,0,0,0,0,0,0,11.023,942.1,0.00116,337.979,0.015,201500,4.6,20,0.05,0.433,0
4.266,100.164,612.164,4.71,4.71,-9.869,9.869,-0.00053,0.00014,0.00055,284.93191,0.00015,0.00004,33.98,117.38,0.00133,0,0,0,90.01167,261.78442,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.011,0.546,0.398,0.028,0.12,0.546,0.00031,0.00065,0.00008,0,0,0,0,0,0,0,11.021,942.1,0.00116,337.978,0.014,182300,4.6,20,0.05,0.434,0
4.316,100.387,612.387,4.217,4.217,-9.855,9.855,-0.00054,0.00014,0.00056,284.93191,0.00015,0.00004,33.98,117.38,0.00152,0,0,0,90.01167,261.78442,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.009,0.557,0.408,0.029,0.12,0.557,0.00036,0.00089,0.00014,0,0,0,0,0,0,0,11.019,942.1,0.00116,337.977,0.012,163200,4.6,20,0.05,0.435,0
4.366,100.586,612.586,3.725,3.725,-9.843,9.843,-0.00055,0.00015,0.00057,284.93191,0.00015,0.00004,33.98,117.38,0.00175,0,0,0,90.01167,261.78442,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.007,0.57,0.421,0.029,0.12,0.57,0.00041,0.00098,0.00033,0,0,0,0,0,0,0,11.018,942,0.00116,337.976,0.011,144200,4.6,20,0.05,0.436,0
4.416,100.76,612.76,3.233,3.233,-9.832,9.832,-0.00055,0.00015,0.00057,284.93191,0.00015,0.00003,33.98,117.38,0.002,0,0,0,90.01167,264.82109,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.006,0.586,0.436,0.029,0.12,0.586,0.00047,0.0009,-0.0003,0,0,0,0,0,0,0,11.017,942,0.00116,337.975,0.01,125100,4.6,20,0.05,0.437,0
4.466,100.909,612.909,2.742,2.742,-9.822,9.822,-0.00056,0.00015,0.00058,284.93191,0.00014,0.00003,33.98,117.38,0.00235,0,0,0,90.01167,267.85777,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.004,0.605,0.455,0.03,0.12,0.605,0.00056,0.001,-0.00015,0,0,0,0,0,0,0,11.016,942,0.00116,337.975,0.008,106100,4.6,20,0.05,0.438,0
4.516,101.034,613.034,2.251,2.251,-9.814,9.814,-0.00057,0.00015,0.00059,284.93191,0.00014,0.00002,33.98,117.38,0.00288,0,0,0,90.01167,270.66526,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.003,0.629,0.478,0.031,0.12,0.629,0.00068,0.002,-0.00048,0,0,0,0,0,0,0,11.015,942,0.00116,337.974,0.007,87120,4.6,20,0.05,0.439,0
4.566,101.134,613.134,1.76,1.76,-9.807,9.807,-0.00057,0.00015,0.00059,284.93191,0.00014,0.00002,33.98,117.38,0.00375,0,0,0,90.01167,273.12898,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.002,0.662,0.511,0.032,0.12,0.662,0.00089,0.003,0.00026,0,0,0,0,0,0,0,11.015,942,0.00116,337.974,0.005,68130,4.6,20,0.05,0.44,0
4.616,101.21,613.21,1.27,1.27,-9.802,9.802,-0.00058,0.00016,0.0006,284.93191,0.00014,0.00001,33.98,117.38,0.00538,0,0,0,90.01167,275.19163,154,23,0.004,0.00008,9.795,47.3,34.3,2.84,0,0,0.001,0.712,0.559,0.033,0.12,0.712,0.001,0.003,0.00047,0,0,0,0,0,0,0,11.014,942,0.00116,337.973,0.004,49160,4.6,20,0.05,0.441,0
4.666,101.261,613.261,0.78,0.78,-9.798,9.798,-0.00059,0.00016,0.00061,284.93191,0.00014,0.00001,33.98,117.38,0.00922,0,0,0,90.01167,276.9105,154,23,0.004,0.00008,9.795,47.3,34.3,2.839,0,0,0.00046,0.802,0.645,0.037,0.12,0.802,0.002,0.006,-0.00017,0,0,0,0,0,0,0,11.014,942,0.00116,337.973,0.002,30190,4.6,20,0.05,0.442,0
4.716,101.288,613.288,0.29,0.29,-9.795,9.795,-0.00059,0.00016,0.00062,284.93191,0.00014,0,33.98,117.38,0.0265,0,0,0,90.01167,278.2856,154,23,0.004,0.00008,9.795,47.2,34.3,2.838,0,0,0.00008,1.064,0.893,0.051,0.12,1.064,0.006,0.018,-0.00006,0,0,0,0,0,0,0,11.014,942,0.00116,337.973,0.00086,11230,4.6,20,0.05,0.443,0
# Event APOGEE occurred at t=4.766 seconds
4.766,101.29,613.29,-0.2,0.2,-9.794,9.794,-0.0006,0.00016,0.00062,284.93191,0.00013,0.00098,33.98,117.38,179.96604,0,0,0,90.01167,279.43152,154,23,0.004,0.00008,9.795,54.7,34.3,4.465,0,0,-0.00004,1.112,0.93,0.062,0.12,-1.112,4.022,17.946,-0.0003,0,0,0,0,0,0,0,11.014,942,0.00116,337.973,0.00059,7725.585,4.6,20,0.05,0.444,0
4.816,101.268,613.268,-0.689,0.689,-9.792,9.792,-0.00061,0.00016,0.00063,284.93191,0.00003,0.012,33.98,117.38,180.02334,0,0,0,90.01167,287.68211,154,23,0.004,0.00008,9.795,54.7,34.3,4.465,0,0,-0.00037,0.828,0.67,0.038,0.12,-0.828,4.021,17.955,-0.00021,0,0,0,0,0,0,0,11.014,942,0.00116,337.973,0.002,26680,4.6,20,0.05,0.446,0
4.866,101.221,613.221,-1.179,1.179,-9.788,9.788,-0.00061,0.00016,0.00063,284.76002,0.00016,0.034,33.98,117.38,179.96604,-0,0,0,90.01167,303.89681,154,23,0.004,0.00008,9.795,54.7,34.3,4.465,0,0,-0.00095,0.725,0.571,0.034,0.12,-0.725,4.021,17.955,0.00018,0,0,0,0,0,0,0,11.014,942,0.00116,337.973,0.003,45630,4.6,20,0.05,0.449,0
4.916,101.15,613.15,-1.668,1.668,-9.783,9.783,-0.00062,0.00016,0.00064,284.35895,0.00045,0.069,33.98,117.38,179.96604,-0,0,0,90.01167,322.74713,154,23,0.004,0.00008,9.795,54.7,34.3,4.465,0,0,-0.002,0.67,0.518,0.032,0.12,-0.67,4.022,17.953,-0.00033,0,0,0,0,0,0,0,11.015,942,0.00116,337.974,0.005,64570,4.6,20,0.05,0.45,0
4.966,101.055,613.055,-2.157,2.157,-9.777,9.777,-0.00063,0.00015,0.00064,283.55681,0.00085,0.115,33.98,117.38,179.96604,-0.00002,0,0,90.01167,336.89918,154,23,0.004,0.00008,9.795,54.7,34.3,4.465,0,0,-0.003,0.635,0.484,0.031,0.12,-0.635,4.022,17.951,-0.00027,0,0,0,0,0,0,0,11.015,942,0.00116,337.974,0.006,83500,4.6,20,0.05,0.452,0
5.016,100.934,612.934,-2.646,2.646,-9.768,9.77,-0.00063,0.00013,0.00064,281.66605,0.001,0.172,33.98,117.38,179.96604,-0.00007,-0.51566,-0.40107,89.95437,343.88927,154,23,0.004,0.00008,9.795,54.7,34.3,4.465,0,0,-0.004,0.609,0.459,0.03,0.12,-0.609,4.022,17.951,0.00027,0,0,0,0,-0.001,0,0,11.016,942,0.00116,337.975,0.008,102400,4.6,20,0.05,0.454,0
5.066,100.79,612.79,-3.134,3.134,-9.759,9.762,-0.00062,0.00008,0.00062,277.02509,0.002,0.242,33.98,117.38,179.96604,-0.00027,-0.45837,-0.91673,89.95437,344.06116,154,23,0.004,0.00008,9.795,54.7,34.3,4.465,0,0,-0.005,0.589,0.439,0.03,0.12,-0.589,4.023,17.947,0.00005,0,0,0,0,-0.00065,0,0,11.017,942,0.00116,337.975,0.009,121300,4.6,20,0.05,0.455,0
5.116,100.621,612.621,-3.622,3.622,-9.748,9.753,-0.00056,-0.00005,0.00057,264.7065,0.004,0.323,33.98,117.38,179.90875,-0.00106,0.17189,-1.83346,89.89708,338.10239,154,23,0.004,0.00008,9.795,54.7,34.3,4.465,0,0,-0.007,0.573,0.424,0.029,0.12,-0.573,4.024,17.94,-0.00011,0,0,0,0,0.00009,0,0,11.018,942,0.00116,337.976,0.011,140200,4.6,20,0.031,0.456,0
5.147,100.505,612.505,-3.922,3.922,-9.74,9.748,-0.00045,-0.00021,0.00049,244.59568,0.009,0.379,33.98,117.38,179.96604,-0.00193,2.92208,-2.7502,89.83978,331.2269,154,23,0.004,0.00008,9.795,54.7,34.3,4.465,0,0,-0.008,0.565,0.416,0.029,0.12,-0.565,4.023,17.926,-0.00016,0,0,0,0,0.016,0,0,11.019,942,0.00116,337.976,0.012,151800,4.6,20,0.025,0.458,0
5.172,100.404,612.404,-4.165,4.165,-9.733,9.742,-0.00027,-0.0005,0.00056,208.44205,0.018,0.427,33.98,117.38,179.90875,-0.0024,7.33386,-1.43239,89.66789,329.73721,154,23,0.004,0.00008,9.795,54.7,34.3,4.464,0,0,-0.009,0.559,0.41,0.029,0.12,-0.559,4.024,17.845,0.00001,0,0,0,0,0.091,0,0,11.019,942.1,0.00116,337.977,0.012,161200,4.6,20,0.024,0.459,0
5.196,100.301,612.301,-4.399,4.399,-9.724,9.736,0.00002,-0.00096,0.00096,178.82013,0.028,0.477,33.98,117.38,179.79416,-0.00248,11.97482,-0.28648,89.43871,329.04966,154,23,0.004,0.00008,9.795,54.7,34.3,4.463,0,0,-0.01,0.553,0.404,0.029,0.12,-0.553,4.028,17.694,-0.00028,0,0,0,0,0.219,0,0,11.02,942.1,0.00116,337.977,0.013,170300,4.6,20,0.023,0.46,0
5.219,100.196,612.196,-4.625,4.625,-9.714,9.729,0.00043,-0.002,0.002,165.29832,0.04,0.528,33.98,117.38,179.62227,-0.00248,16.84496,-0.11459,89.09494,328.93507,154,23,0.004,0.00008,9.795,54.7,34.3,4.461,0,0,-0.011,0.548,0.4,0.029,0.12,-0.548,4.035,17.476,0.00016,0,0,0,0,0.389,0,0,11.021,942.1,0.00116,337.977,0.014,179000,4.6,20,0.021,0.46,0
5.241,100.094,612.094,-4.834,4.834,-9.703,9.721,0.00094,-0.002,0.003,159.28227,0.052,0.577,33.98,117.38,179.27849,-0.00248,21.6578,-0.04022,88.69387,328.87777,154,23,0.004,0.00008,9.795,54.6,34.3,4.458,0,0,-0.012,0.544,0.395,0.028,0.12,-0.545,4.046,17.207,-0.00025,0,0,0,0,0.591,0,0,11.021,942.1,0.00116,337.978,0.014,187100,4.6,20,0.02,0.461,0
5.261,99.996,611.996,-5.028,5.028,-9.691,9.711,0.002,-0.003,0.004,156.131,0.064,0.626,33.98,117.38,178.93472,-0.00248,26.47065,-0.02322,88.2355,328.82048,154,23,0.004,0.00008,9.795,54.6,34.3,4.454,0,0,-0.013,0.54,0.392,0.028,0.12,-0.542,4.059,16.898,-0.00024,0,0,0,0,0.817,0,0,11.022,942.1,0.00116,337.978,0.015,194600,4.6,20,0.019,0.462,0
5.28,99.899,611.899,-5.21,5.211,-9.677,9.701,0.002,-0.005,0.005,154.24024,0.076,0.674,33.98,117.38,178.47635,-0.00248,31.2835,-0.01549,87.66254,328.82048,154,23,0.004,0.00008,9.795,54.6,34.3,4.449,0,0,-0.014,0.537,0.388,0.028,0.12,-0.54,4.075,16.554,0.00012,0,0,0,0,1.061,0,0,11.023,942.1,0.00116,337.979,0.015,201700,4.6,20,0.018,0.463,0
5.298,99.804,611.804,-5.383,5.384,-9.662,9.688,0.003,-0.006,0.007,153.03703,0.089,0.721,33.98,117.38,178.01799,-0.00248,36.09634,-0.01131,87.08958,328.82048,154,23,0.004,0.00008,9.795,54.6,34.3,4.444,0,0,-0.015,0.534,0.385,0.028,0.12,-0.54,4.093,16.181,0.00027,0,0,0,0,1.32,0,0,11.023,942.1,0.00116,337.979,0.016,208400,4.6,20,0.017,0.463,0
5.315,99.71,611.71,-5.549,5.55,-9.644,9.675,0.004,-0.007,0.008,152.17759,0.101,0.769,33.98,117.38,177.44503,-0.00248,40.85189,-0.00882,86.40204,328.82048,154,23,0.004,0.00008,9.795,54.5,34.3,4.437,0,0,-0.016,0.531,0.383,0.028,0.12,-0.54,4.114,15.781,-0.00049,0,0,0,0,1.592,0,0,11.024,942.1,0.00116,337.979,0.016,214900,4.6,20,0.017,0.464,0
5.331,99.617,611.617,-5.709,5.71,-9.624,9.659,0.005,-0.009,0.01,151.60463,0.115,0.816,33.98,117.38,176.81478,-0.00248,45.60744,-0.00714,85.65719,328.76318,154,23,0.004,0.00008,9.795,54.5,34.3,4.43,0,0,-0.017,0.528,0.38,0.028,0.12,-0.543,4.138,15.357,0.00033,0,0,0,0,1.874,0,0,11.024,942.1,0.00116,337.98,0.017,221000,4.6,20,0.016,0.465,0
5.347,99.524,611.524,-5.863,5.865,-9.602,9.641,0.006,-0.01,0.012,151.14627,0.128,0.864,33.98,117.38,176.18452,-0.00248,50.30569,-0.00596,84.91235,328.76318,154,23,0.004,0.00008,9.795,54.5,34.3,4.423,0,0,-0.018,0.526,0.378,0.028,0.12,-0.546,4.164,14.911,-0.00047,0,0,0,0,2.165,0,0,11.025,942.1,0.00116,337.98,0.017,227000,4.6,20,0.016,0.466,0
5.363,99.431,611.431,-6.014,6.016,-9.577,9.621,0.007,-0.012,0.014,150.80249,0.142,0.912,33.98,117.38,175.43968,-0.00248,55.06124,-0.00511,84.1102,328.76318,154,23,0.004,0.00008,9.795,54.4,34.3,4.414,0,0,-0.019,0.524,0.376,0.028,0.12,-0.551,4.194,14.446,0.00021,0,0,0,0,2.462,0,0,11.026,942.2,0.00116,337.98,0.018,232900,4.6,20,0.015,0.466,0
5.379,99.337,611.337,-6.161,6.163,-9.549,9.597,0.008,-0.014,0.016,150.51601,0.156,0.962,33.98,117.38,174.63754,-0.00248,59.7595,-0.00455,83.19347,328.76318,154,23,0.004,0.00008,9.795,54.4,34.3,4.404,0,0,-0.02,0.521,0.373,0.028,0.12,-0.558,4.227,13.96,-0.00014,0,0,0,0,2.764,0,0,11.026,942.2,0.00116,337.981,0.018,238600,4.6,20,0.015,0.467,0
5.394,99.242,611.242,-6.306,6.308,-9.518,9.571,0.009,-0.016,0.019,150.28683,0.171,1.012,33.98,117.38,173.8354,-0.00248,64.45775,-0.00394,82.27674,328.76318,154,23,0.004,0.00008,9.795,54.3,34.3,4.394,0,0,-0.021,0.519,0.371,0.028,0.12,-0.566,4.264,13.457,0.00021,0,0,0,0,3.07,0,0,11.027,942.2,0.00116,337.981,0.019,244200,4.6,20,0.015,0.468,0
5.409,99.147,611.147,-6.449,6.452,-9.482,9.542,0.011,-0.019,0.022,150.11494,0.187,1.063,33.98,117.38,172.91866,-0.00248,69.15601,-0.00348,81.24542,328.76318,154,23,0.004,0.00008,9.795,54.3,34.3,4.382,0,0,-0.023,0.517,0.369,0.028,0.12,-0.576,4.305,12.935,-0.00048,0,0,0,0,3.378,0,0,11.028,942.2,0.00116,337.982,0.019,249800,4.6,20,0.015,0.468,0
5.424,99.049,611.049,-6.591,6.594,-9.443,9.509,0.012,-0.021,0.024,149.94305,0.203,1.116,33.98,117.38,171.94463,-0.00248,73.85426,-0.00313,80.1568,328.76318,154,23,0.004,0.00008,9.795,54.2,34.3,4.369,0,0,-0.024,0.515,0.368,0.028,0.12,-0.587,4.351,12.397,0.00046,0,0,0,0,3.687,0,0,11.028,942.2,0.00116,337.982,0.02,255300,4.6,20,0.015,0.469,0
5.439,98.949,610.949,-6.731,6.735,-9.399,9.471,0.014,-0.024,0.028,149.82846,0.22,1.17,33.98,117.38,170.91331,-0.00248,78.49522,-0.00286,79.06818,328.76318,154,23,0.004,0.00008,9.795,54.2,34.3,4.355,0,0,-0.026,0.514,0.366,0.028,0.12,-0.599,4.403,11.842,-0.00021,0,0,0,0,3.995,0,0,11.029,942.2,0.00116,337.982,0.02,260700,4.6,20,0.015,0.47,0
5.454,98.848,610.848,-6.872,6.876,-9.349,9.429,0.016,-0.027,0.031,149.71387,0.238,1.226,33.98,117.38,169.82469,-0.00248,83.19347,-0.00261,77.80767,328.76318,154,23,0.004,0.00008,9.795,54.1,34.3,4.34,0,0,-0.027,0.512,0.364,0.028,0.12,-0.611,4.461,11.269,-0.00047,0,0,0,0,4.301,0,0,11.029,942.2,0.00116,337.983,0.02,266200,4.6,20,0.015,0.47,0
5.469,98.743,610.743,-7.013,7.017,-9.294,9.382,0.018,-0.03,0.035,149.59928,0.257,1.285,33.98,117.38,168.62148,-0.00248,87.83443,-0.00236,76.54716,328.76318,154,23,0.004,0.00008,9.795,54,34.3,4.322,0,0,-0.029,0.51,0.362,0.028,0.12,-0.624,4.527,10.679,0.00022,0,0,0,0,4.604,0,0,11.03,942.2,0.00116,337.983,0.021,271700,4.6,20,0.015,0.471,0
5.484,98.634,610.634,-7.155,7.16,-9.231,9.329,0.02,-0.034,0.039,149.54198,0.278,1.346,33.98,117.38,167.36097,-0.00248,92.47539,-0.00212,75.17206,328.76318,154,23,0.004,0.00008,9.795,53.9,34.3,4.303,0,0,-0.031,0.509,0.361,0.028,0.12,-0.636,4.601,10.071,-0.00045,0,0,0,0,4.902,0,0,11.031,942.2,0.00116,337.984,0.021,277200,4.6,20,0.016,0.472,0
5.5,98.521,610.521,-7.298,7.304,-9.162,9.269,0.022,-0.037,0.043,149.42739,0.299,1.411,33.98,117.38,166.04317,-0.00248,97.05905,-0.00197,73.68237,328.76318,154,23,0.004,0.00008,9.795,53.8,34.3,4.281,0,0,-0.033,0.507,0.359,0.028,0.12,-0.646,4.686,9.443,0.0004,0,0,0,0,5.194,0,0,11.032,942.3,0.00116,337.984,0.022,282800,4.6,20,0.016,0.472,0
5.516,98.404,610.404,-7.444,7.451,-9.083,9.203,0.025,-0.042,0.048,149.3701,0.322,1.48,33.98,117.38,164.55348,-0.00248,101.70001,-0.0018,72.07809,328.76318,154,23,0.004,0.00008,9.795,53.7,34.3,4.256,0,0,-0.034,0.505,0.358,0.028,0.12,-0.653,4.783,8.795,0.00014,0,0,0,0,5.476,0,0,11.032,942.3,0.00116,337.985,0.022,288500,4.6,20,0.016,0.473,0
5.532,98.28,610.28,-7.593,7.601,-8.994,9.128,0.027,-0.046,0.054,149.3128,0.347,1.554,33.98,117.38,163.00649,-0.00248,106.28367,-0.00157,70.35922,328.76318,154,23,0.004,0.00008,9.795,53.6,34.3,4.228,0,0,-0.036,0.504,0.356,0.028,0.12,-0.655,4.894,8.122,-0.00026,0,0,0,0,5.748,0,0,11.033,942.3,0.00116,337.985,0.022,294300,4.6,20,0.017,0.474,0
5.549,98.148,610.148,-7.746,7.756,-8.893,9.042,0.031,-0.052,0.06,149.25551,0.374,1.635,33.98,117.38,161.28762,-0.00248,110.86733,-0.00143,68.52575,328.76318,154,23,0.004,0.00008,9.795,53.4,34.3,4.196,0,0,-0.037,0.502,0.354,0.028,0.12,-0.65,5.024,7.424,-0.0002,0,0,0,0,6.005,0,0,11.034,942.3,0.00116,337.986,0.023,300300,4.6,20,0.018,0.474,0
5.567,98.007,610.007,-7.906,7.916,-8.775,8.943,0.034,-0.058,0.067,149.19821,0.405,1.725,33.98,117.38,159.39686,-0.00248,115.3937,-0.00119,66.4631,328.76318,154,23,0.004,0.00008,9.795,53.3,34.3,4.159,0,0,-0.038,0.5,0.353,0.028,0.12,-0.641,5.177,6.695,-0.00001,0,0,0,0,6.246,0,0,11.035,942.3,0.00116,337.986,0.023,306500,4.6,20,0.019,0.475,0
5.587,97.853,609.853,-8.073,8.085,-8.635,8.825,0.039,-0.065,0.075,149.14091,0.439,1.824,33.98,117.38,157.33421,-0.00248,119.86277,-0.00093,64.22857,328.76318,154,23,0.004,0.00008,9.795,53.1,34.3,4.115,0,0,-0.039,0.499,0.351,0.027,0.12,-0.627,5.359,5.928,0.0001,0,0,0,0,6.464,0,0,11.036,942.3,0.00116,337.987,0.024,313000,4.6,20,0.021,0.476,0
5.607,97.684,609.684,-8.251,8.264,-8.464,8.682,0.043,-0.073,0.085,149.14091,0.478,1.935,33.98,117.38,154.98508,-0.00248,124.33184,-0.00089,61.70755,328.76318,154,23,0.004,0.00008,9.795,52.8,34.3,4.064,0,0,-0.039,0.497,0.349,0.027,0.12,-0.606,5.578,5.113,-0.00012,0,0,0,0,6.654,0,0,11.037,942.4,0.00116,337.987,0.024,320000,4.6,20,0.023,0.476,0
5.63,97.491,609.491,-8.443,8.46,-8.248,8.502,0.049,-0.083,0.096,149.08362,0.524,2.063,33.98,117.38,152.29218,-0.00248,128.68632,-0.00063,58.78547,328.76318,154,23,0.004,0.00008,9.795,52.5,34.3,4,0,0,-0.039,0.495,0.347,0.027,0.12,-0.576,5.852,4.236,0.00038,0,0,0,0,6.805,0,0,11.038,942.4,0.00116,337.988,0.025,327500,4.6,20,0.023,0.477,0
5.654,97.292,609.292,-8.633,8.652,-7.998,8.294,0.056,-0.094,0.109,149.02632,0.574,2.195,33.98,117.38,149.54198,-0.00248,132.46784,-0.00043,55.6915,328.76318,154,23,0.004,0.00008,9.795,52.2,34.3,3.93,0,0,-0.038,0.493,0.346,0.027,0.12,-0.54,6.159,3.381,0.00039,0,0,0,0,6.893,0,0,11.04,942.4,0.00116,337.989,0.026,335000,4.6,20,0.023,0.478,0
