time_s,phase,altitude_m,vertical_velocity_m_s,vertical_acceleration_m_s2
0.0,pad,0.0,0.0,0.0
0.034,pad,0.0,0.0,3.4495620289512603
0.066,pad,0.0023528825825727484,0.21427867662191358,14.472288735902897
0.107,rail,0.02846979514925407,1.2161297220988656,35.814793126728176
0.11699999999999999,rail,0.042515592567548756,1.6020322918384198,41.29342151365943
0.127,rail,0.06069065073821262,2.0419981523720545,46.704851432373275
0.137,rail,0.08353610545933898,2.536129320485886,52.12652043860314
0.145,rail,0.10553947446695276,2.9705072672089186,56.6517471448617
0.155,rail,0.13817220172142858,3.5664560362135678,62.724006173746886
0.165,rail,0.17707720229046225,4.224987390683857,68.99017367294886
0.17500000000000002,rail,0.22288108394114883,4.946259509672546,75.27210341528286
0.183,rail,0.26491350533222197,5.568563642699857,80.14291607961275
0.193,rail,0.3247071399094655,6.399429046635968,85.87033651626774
0.203,rail,0.39308767170411996,7.285970373025213,91.44657462292241
0.214,rail,0.4788896563456997,8.325671241883732,96.89336102726315
0.226,rail,0.5859152564959005,9.519483795298147,101.59707156137756
0.23560556286099926,rail,0.6820908460968578,10.511625137708803,105.20570697256153
0.24430450320581554,rail,0.7775551581927063,11.44190917820089,108.68320633763722
0.2522961764987841,rail,0.8724998137210612,12.323251980845129,111.88515295265142
0.256,boost,0.9189137972237199,12.740405679460913,113.24028287516774
0.26155573525182385,boost,0.9914538876276844,13.374642436315584,114.9479408873417
0.2698893381295596,boost,1.1069317428135064,14.342435960813951,117.31671397933525
0.281,boost,1.273591884590504,15.663459533826115,120.20303437302618
0.298,boost,1.55744582799343,17.740884298459576,120.19366989201671
0.306,boost,1.7032387708264425,18.694874930626753,114.86825958513577
0.318,boost,1.9355252879035882,19.99444379580468,102.01224993704227
0.323,boost,2.0367508583948766,20.491410971543118,96.75664820644465
0.3305,boost,2.1930836895872834,21.18742198000247,88.82801309144315
0.337,boost,2.332629954554631,21.742420270269182,83.02660816576758
0.34675,boost,2.5484355763839663,22.517447691209657,77.03922774046885
0.358,boost,2.8065127934507053,23.352326199408544,72.06962800128099
0.37487499999999996,boost,3.210507082638334,24.51428698726509,66.32973050261285
0.385,boost,3.462062389528792,25.170522737779066,63.99891082256772
0.4001875000000001,boost,3.851599673869902,26.123950944417007,62.258499815926825
0.413,boost,4.191399075157675,26.916031764232606,61.32719711549032
0.4322187499999998,boost,4.719929695390953,28.08043009355581,59.78686163556813
0.4610468749999996,boost,5.553947473903989,29.76939165404822,57.37980816274376
0.468,boost,5.762320131111414,30.166335645396973,56.87246638800275
0.4784296875000007,boost,6.0800256987893135,30.75611679431518,56.299416960081885
0.4940742187500017,boost,6.568049994342938,31.631054179221316,55.549893518981776
0.5175410156250032,boost,7.325521548349254,32.921390232277275,54.41629038689189
0.539,boost,8.044430453692327,34.07793689505558,53.757094201700056
0.5711884765624953,boost,9.169058032364754,35.80160432075257,53.72001756087593
0.619,boost,10.942383672443544,38.382170651681115,54.01725903772251
0.669,boost,12.929136600962815,41.08530959721622,53.899147432813606
0.683,boost,13.509610130794705,41.83925622588228,53.80421595924997
0.7040000000000001,boost,14.400087615665448,42.96759764924426,53.654213306067504
0.715,boost,14.875975673205627,43.557354185597205,52.61148092184817
0.726,boost,15.35826852000649,44.125050229524916,48.03125560295234
0.74,boost,15.980481484469323,44.73374369614918,37.37107880497729
0.758,boost,16.79089173393167,45.26508908541997,21.83894408702281
0.778,boost,17.699415897431383,45.53119587369823,5.614845799533896
0.795,boost,18.473592764026364,45.51552061956253,-6.399398902324265
0.81,coast,19.15523077247348,45.34703562695895,-13.01338260683815
0.8325,coast,20.171564885600016,44.994124088682355,-15.638771571724078
0.8662500000000001,coast,21.681236216405427,44.46865369844048,-15.50172962247342
0.9162500000000001,coast,23.88537590609889,43.698586730037555,-15.303694726799279
0.9662500000000002,coast,26.051257622461446,42.93828422576055,-15.11138337925928
1.01625,coast,28.17936209890576,42.18744839211162,-14.92492258917008
1.0662500000000001,coast,30.270155444579483,41.44579196684355,-14.744106696421397
1.1162500000000002,coast,32.324089658397284,40.71303772246948,-14.568739696346768
1.1662500000000002,coast,34.341603118942004,39.98891799720887,-14.398634708872805
1.2162500000000003,coast,36.32312105156149,39.2731742515822,-14.233613482096814
1.2662500000000003,coast,38.269055973901686,38.56555664899919,-14.07350592775174
1.3162500000000004,coast,40.179808121036686,37.865823658807024,-13.918149686232539
1.3662500000000004,coast,42.05576585128296,37.17374168037593,-13.767389719048367
1.4162500000000005,coast,43.89730603371601,36.48908468690218,-13.621077926737371
1.4662500000000005,coast,45.70479441834441,35.81163388770219,-13.479072790440739
1.5162500000000005,coast,47.478585989836915,35.14117740785811,-13.34123903547578
1.5662500000000006,coast,49.219025305643385,34.477509984154615,-13.207447315379227
1.6162500000000006,coast,50.92644681929912,33.82043267632019,-13.077573915011556
1.6662500000000007,coast,52.60117518965464,33.16975259265346,-12.951500471423344
1.7162500000000007,coast,54.24352557672832,32.52528262917785,-12.829113711283185
1.7662500000000008,coast,55.85380392483832,31.886841221525138,-12.710305203760242
1.8162500000000008,coast,57.43230723363121,31.254252108801825,-12.594971127836004
1.8662500000000009,coast,58.979323817588856,30.62734410874154,-12.48301205309832
1.916250000000001,coast,60.495133554561455,30.005950903491993,-12.374332733141046
1.966250000000001,coast,61.98000812384298,29.389910835427433,-12.268841910755611
